★scn00000★ 01_妃愛12_2.txt
☆nme00058☆ 智宏

★txt00059★ 「いつかどちらかが大人になる日まで、君と僕が帰る家に、家族の姿を絶やさないこと。それが君の兄としての僕の自信になりました」
☆txt00059☆ 「直到一方羽翼变得丰满，足以抵挡风吹日晒为止，家人的关怀一定会温暖我们避风的港湾。这份承诺就是我身为哥哥的自信。」

★scn00060★ 01_妃愛12_2.txt
☆scn00060☆ 01_妃愛12_2.txt

★nme00061★ 智宏
☆nme00061☆ 智宏

★txt00062★ 「その自信は正しかったんだと、去年の朗読劇を観て確かめることができました。僕と共に育ってくれて、ありがとう」
☆txt00062☆ 「在看了去年的朗读剧之后，我可以肯定，这份自信是正确的。谢谢你，能够和我一起长大。」

★scn00063★ 01_妃愛12_2.txt
☆scn00063☆ 01_妃愛12_2.txt

★nme00064★ 智宏
☆nme00064☆ 智宏

★txt00065★ 「大好きな妃愛。生まれるときに選択権があるのなら、何度だって君を妹に選びたい。これからも君の兄でいさせてください」
☆txt00065☆ 「致我最喜欢的妃爱。如果在出生的时候有选择的机会的话，无论让我选多少次，我都想选择你作为我的妹妹。从今往后也请让我作为你的哥哥一直努力下去。」

★scn00066★ 01_妃愛12_2.txt
☆scn00066☆ 01_妃愛12_2.txt

★nme00067★ 智宏
☆nme00067☆ 智宏

★txt00068★ 「お誕生日おめでとう。何よりも大切な僕の宝物へ。兄より」
☆txt00068☆ 「我的掌上明珠，生日快乐。by哥哥。」

★scn00069★ 01_妃愛12_2.txt
☆scn00069☆ 01_妃愛12_2.txt

★nme00070★ 智宏
☆nme00070☆ 智宏

★txt00071★ 「こ、これでおしまい。全部読み終わった」
☆txt00071☆ 「结，结束了。全部读完了。」

★scn00072★ 01_妃愛12_2.txt
☆scn00072☆ 01_妃愛12_2.txt

★nme00073★ 妃愛
☆nme00073☆ 妃愛

★txt00074★ 「どうしてそういうことするのぉ……」
☆txt00074☆ 「为什么要说出来……」

★scn00075★ 01_妃愛12_2.txt
☆scn00075☆ 01_妃愛12_2.txt

★nme00076★ 
☆nme00076☆ 

★txt00077★ そういう反応を期待してはいたのだけど、俺の予想以上に妃愛は感激してくれた。
☆txt00077☆ 虽然我也期待着妃爱会有这样的反应，但妃爱比想象中的还要感动。

★scn00078★ 01_妃愛12_2.txt
☆scn00078☆ 01_妃愛12_2.txt

★nme00079★ 
☆nme00079☆ 

★txt00080★ ただもっと軽めに、照れ照れしながら「恥ずかちー！」くらいのものかと……演技じゃないよなあ、これは？
☆txt00080☆ 我以为妃爱会更加平静一些，一边害羞一边说着「好羞羞！」之类的……这个，应该不是演技吧？

★scn00081★ 01_妃愛12_2.txt
☆scn00081☆ 01_妃愛12_2.txt

★nme00082★ 妃愛
☆nme00082☆ 妃愛

★txt00083★ 「なんで、そんな大切な手紙、みんなの前で……」
☆txt00083☆ 「为什么，这么重要的信，要在大家面前……」

★scn00084★ 01_妃愛12_2.txt
☆scn00084☆ 01_妃愛12_2.txt

★nme00085★ 智宏
☆nme00085☆ 智宏

★txt00086★ 「あっ、いやっ……！　だ、駄目だったかな！？　俺的には、手紙書くのに協力してもらったのもあるけど、なんていうか……！」
☆txt00086☆ 「啊，不好……！做，做错了吗！？我想的是，写信时收到了大家的帮助，而且最重要的是……！」

★scn00087★ 01_妃愛12_2.txt
☆scn00087☆ 01_妃愛12_2.txt

★nme00088★ 智宏
☆nme00088☆ 智宏

★txt00089★ 「この手紙は、去年の妃愛の告白に対する俺の答えというか……ずっと抱えてた想いを大勢の前で告白した妃愛への返事だから、俺も同じ条件であるべきというか」
☆txt00089☆ 「这封信，是我对去年妃爱告白的回复……既然妃爱是在大家的面前将自己一直以来的想法表示出来的话，那么作为这份告白的回复，我也应该在同样的条件下读出来。」

★scn00090★ 01_妃愛12_2.txt
☆scn00090☆ 01_妃愛12_2.txt

★nme00091★ 
☆nme00091☆ 

★txt00092★ 「妃愛の告白」という言葉を口にしてから、恋人の意味の告白だと思われたらどうしようか焦った。ひ、妃愛なら、文化祭の話だとわかってくれるよなあ？
☆txt00092☆ 因为说了「妃爱的告白」这个词，所以有些担心会不会被误认为恋人间的告白。不，不过既然是妃爱的话，应该知道指的是文化祭时的告白吧？

★scn00093★ 01_妃愛12_2.txt
☆scn00093☆ 01_妃愛12_2.txt

★nme00094★ 智宏
☆nme00094☆ 智宏

★txt00095★ 「妃愛が、俺を大切だと人前で言うのには勇気がいったと思うから、俺も妃愛が好きだ、大切なんだと、全世界に向けて発信したかった」
☆txt00095☆ 「妃爱在大家面前说我是很重要的人，这是需要很大的勇气的，所以我也想让全世界知道，我喜欢妃爱，重视妃爱。」

★scn00096★ 01_妃愛12_2.txt
☆scn00096☆ 01_妃愛12_2.txt

★nme00097★ 智宏
☆nme00097☆ 智宏

★txt00098★ 「俺は自分の妹が大好きなんだという気持ちを、誰に隠すこともなく胸張って言える姿を妃愛に見せたかったんだ」
☆txt00098☆ 「我现在可以将自己喜欢妹妹的这份心情，毫无隐藏，堂堂正正地说出来。同时，希望妃爱也能看到我的这一面。」

★scn00099★ 01_妃愛12_2.txt
☆scn00099☆ 01_妃愛12_2.txt

★nme00100★ 智宏
☆nme00100☆ 智宏

★txt00101★ 「いっそ文化祭の企画にできればよかったけど、妃愛の朗読劇と違って俺の手紙じゃ出し物にならないし、去年の舞台を観てない人には何がなんだからわからない」
☆txt00101☆ 「虽然也有想过如果能做成文化祭的节目就好了，但是和妃爱的朗读剧不一样，我的信不算一个合格的节目，而且没有看过舞台剧的人可能会听得云里雾里。」

★scn00102★ 01_妃愛12_2.txt
☆scn00102☆ 01_妃愛12_2.txt

★nme00103★ 智宏
☆nme00103☆ 智宏

★txt00104★ 「だから今の俺と妃愛にとって、大切だと思える人たちに聞いてもらった。俺たちが１年間いっしょに過ごした、生徒会のなかっ、仲間に」
☆txt00104☆ 「所以就只邀请了对现在的我和妃爱来说最为重要的人，读给她们听。她们都是和我们一起度过了一年光阴的，学生会的伙伴们。」

★scn00105★ 01_妃愛12_2.txt
☆scn00105☆ 01_妃愛12_2.txt

★nme00106★ 
☆nme00106☆ 

★txt00107★ 俺の勝手な解釈だけど、生徒会のみんなを友人とは言いにくい。同級生の常磐とアメリはともかく、詩桜先輩は先輩だし、２年生たちは後輩だ。
☆txt00107☆ 虽然只是我独断的想法，但很难说和学生会的大家是朋友关系。同年级的常磐和天梨姑且不论，诗樱学姐是大一岁的学姐，而二年级的则是学妹。

★scn00108★ 01_妃愛12_2.txt
☆scn00108☆ 01_妃愛12_2.txt

★nme00109★ 
☆nme00109☆ 

★txt00110★ クラスや趣味繋がりなら友人かもしれないけど、俺たちは生徒会ありきなんだ。会社やアルバイトの同僚に近い。だからなんかこう「仲間」がしっくりくる。
☆txt00110☆ 如果是同班同学或者有相同兴趣的话可能可以说是朋友，但我们的共同点只有学生会。这种关系更像是公司或者打工地方的同僚。所以用「伙伴」这个词正合适。

★scn00111★ 01_妃愛12_2.txt
☆scn00111☆ 01_妃愛12_2.txt

★nme00112★ 
☆nme00112☆ 

★txt00113★ ただ常磐やアメリは俺にとっての友人であるように、錦さんたち２年生は妃愛の友人になって欲しい。これは単に俺の我儘。
☆txt00113☆ 只是像常磐和天梨是我的朋友一样，希望二年级的锦她们也能成为妃爱的朋友。不过这也只是我个人的任性。

★scn00114★ 01_妃愛12_2.txt
☆scn00114☆ 01_妃愛12_2.txt

★nme00115★ 詩桜
☆nme00115☆ 詩桜

★txt00116★ 「まあそれと……これは和泉君にとって後付けの理由なんだが」
☆txt00116☆ 「嘛……这对和泉来说也是附加的理由。」

★scn00117★ 01_妃愛12_2.txt
☆scn00117☆ 01_妃愛12_2.txt

★nme00118★ 詩桜
☆nme00118☆ 詩桜

★txt00119★ 「実は映画の監督から主人公に手紙を読ませたいという相談があってなあ。私にその手紙を書いてもらえないかと」
☆txt00119☆ 「其实电影的监督和我谈过，说想让主人公读信。所以问我能不能把信给写出来。」

★scn00120★ 01_妃愛12_2.txt
☆scn00120☆ 01_妃愛12_2.txt

★nme00121★ 詩桜
☆nme00121☆ 詩桜

★txt00122★ 「原作にない要素を入れるのは、著者として愉快ではないんだが、そういえば和泉君が手紙を書いていたのを思いだした」
☆txt00122☆ 「虽然对作者来说，加入原作中没有的要素不是什么愉快的事，但当时正好想起来，和泉有在写信。」

★scn00123★ 01_妃愛12_2.txt
☆scn00123☆ 01_妃愛12_2.txt

★nme00124★ 詩桜
☆nme00124☆ 詩桜

★txt00125★ 「勘違いしないで欲しいのは、和泉君が先で、映画の話はあとだ。あくまで和泉君の行動あってのものだが……彼の手紙を使うのであればと、監督に渡してきた」
☆txt00125☆ 「希望大家不要误会，是和泉写信在先，电影的事在后。说到底，和泉的行动是大前提……所以在问过他之后，把信给了监督。」

★scn00126★ 01_妃愛12_2.txt
☆scn00126☆ 01_妃愛12_2.txt

★nme00127★ 詩桜
☆nme00127☆ 詩桜

★txt00128★ 「こんな偶然があるものかと思わされたが、事実は小説より奇なりだ。映画と現実が重なった。だから、この手紙は全国公開されるよ」
☆txt00128☆ 「现实远比小说奇妙，实在没想到会出现这种偶然。电影和现实重合了。所以，这封信会在全国公开哦。」

★scn00129★ 01_妃愛12_2.txt
☆scn00129☆ 01_妃愛12_2.txt

★nme00130★ 詩桜
☆nme00130☆ 詩桜

★txt00131★ 「期せずして、彼の望みである『全世界に妹が好きだと発信する』は叶う形になった。ご兄妹で末永く幸せになってくれ」
☆txt00131☆ 「没想到，他的愿望『向全世界传达自己对妹妹的爱』就这么实现了。祝你们兄妹永远幸福。」

★scn00132★ 01_妃愛12_2.txt
☆scn00132☆ 01_妃愛12_2.txt

★nme00133★ 
☆nme00133☆ 

★txt00134★ その話を聞かされたときは驚いたけど、確かに俺の望みには叶っているので、この手紙は詩桜先輩に託した。先輩の文章力が疑われないかは心配だけど。
☆txt00134☆ 虽然在听到的时候十分震惊，但确实能够实现我的愿望，所以就把这封信交给诗樱学姐了。不过还是有些担心会不会让学姐的写作能力受到怀疑。

★scn00135★ 01_妃愛12_2.txt
☆scn00135☆ 01_妃愛12_2.txt

★nme00136★ 
☆nme00136☆ 

★txt00137★ ただ、予想外の形で俺も映画に参加できた。俺にとっては、まるで妃愛への想いを全世界へ発信するために、この映画を用意してもらったと思えるくらいだ。
☆txt00137☆ 不过，我也以意料之外的形式参与了这部电影。对我来说，简直就像是为了向全世界传达我对妃爱的感情，而准备了这部电影。

★scn00138★ 01_妃愛12_2.txt
☆scn00138☆ 01_妃愛12_2.txt

★nme00139★ 智宏
☆nme00139☆ 智宏

★txt00140★ 「というわけで、みんなにも協力してもらった上で聞いてもらいました。去年と同じ条件を整えるために、詩桜先輩にもわざわざ制服を着てもらって」
☆txt00140☆ 「综上所述，是得到了大家的帮助后请她们过来听的。为了准备一份和去年相同的条件，诗樱学姐还特意把校服穿过来了。」

★scn00141★ 01_妃愛12_2.txt
☆scn00141☆ 01_妃愛12_2.txt

★nme00142★ 詩桜
☆nme00142☆ 詩桜

★txt00143★ 「協力と言っても、ただここへ集まっただけではなく……私はまあ、和泉君が言った通り添削などで手を貸したんだが」
☆txt00143☆ 「说是帮忙，但也不只是在这里集合……我的话跟和泉说的一样，在信的删减和修改上也帮了一把手。」

★scn00144★ 01_妃愛12_2.txt
☆scn00144☆ 01_妃愛12_2.txt

★nme00145★ あすみ
☆nme00145☆ あすみ

★txt00146★ 「今日の手紙は、ひよりんにとって一生の宝物として、これから何度も読みなおすよね？　でもせっかくだから、声も繰りかえし聞きたいんじゃないかなって」
☆txt00146☆ 「今天的这封信，对妃爱亲来说，会想当成一辈子的宝物，看一遍又一遍的对吧？但是难得的生日礼物，会不会想要把它录下来听呢？」

★scn00147★ 01_妃愛12_2.txt
☆scn00147☆ 01_妃愛12_2.txt

★nme00148★ あすみ
☆nme00148☆ あすみ

★txt00149★ 「だから先輩に頼んで、録音させてもらったんだ。別の日に読んでもらうこともできるだろうけど、今日この場での声は一度きりだもんね」
☆txt00149☆ 「所以我们拜托学姐，把刚刚的朗读录下来了。虽然信在别的时间也可以看，但是今天的这段告白可是只有一次的哦。」

★scn00150★ 01_妃愛12_2.txt
☆scn00150☆ 01_妃愛12_2.txt

★nme00151★ 華乃
☆nme00151☆ 華乃

★txt00152★ 「声のデータだけだと味気ないから、私がイラスト描いたんだ。和泉がどうしても実写は嫌だって言うから」
☆txt00152☆ 「因为只有声音数据的话有些乏味，所以我还画了插画。不过和泉无论如何都不想要写实风的就是了。」

★scn00153★ 01_妃愛12_2.txt
☆scn00153☆ 01_妃愛12_2.txt

★nme00154★ 詩桜
☆nme00154☆ 詩桜

★txt00155★ 「和泉君にしては顔が良すぎないか」
☆txt00155☆ 「对和泉来说这脸长得也太标致了吧。」

★scn00156★ 01_妃愛12_2.txt
☆scn00156☆ 01_妃愛12_2.txt

★nme00157★ 華乃
☆nme00157☆ 華乃

★txt00158★ 「まあちょっとは盛りますよね。というかこれ和泉であって和泉じゃないんですよ。『ＶＴｕｂｅｒひよりんのお兄ちゃん』です」
☆txt00158☆ 「嘛，是稍微有些艺术加工的成分。不过，虽然画的是和泉，但也不是和泉，是『VTuber妃爱亲的哥哥』哦~」

★scn00159★ 01_妃愛12_2.txt
☆scn00159☆ 01_妃愛12_2.txt

★nme00160★ 
☆nme00160☆ 

★txt00161★ 俺とは似ても似つかない爽やか黒髪のイケメン男子にされたけど、それはあくまで電子の世界の架空の生き物なので許した。しかもちゃんと左右に揺れて動く。
☆txt00161☆ 虽然被画成了和我完全不一样的有着清爽黑发的男子，但再怎么说也只是电子世界的架空生物，所以就算了。而且他还能左右摇晃。

★scn00162★ 01_妃愛12_2.txt
☆scn00162☆ 01_妃愛12_2.txt

★nme00163★ 神田 & 柑凪
☆nme00163☆ 神田 & 柑凪

★txt00164★ 「常磐先輩って絵が上手いんですね！　びっくりしました！」
☆txt00164☆ 「常磐学姐画得真好哇！有点吃惊！」

★scn00165★ 01_妃愛12_2.txt
☆scn00165☆ 01_妃愛12_2.txt

★nme00166★ 飯田 & 伊々奈
☆nme00166☆ 飯田 & 伊々奈

★txt00167★ 「ほんと凄いです！　プロの漫画家さんみたい！」
☆txt00167☆ 「真的好厉害！就像职业漫画家一样！」

★scn00168★ 01_妃愛12_2.txt
☆scn00168☆ 01_妃愛12_2.txt

★nme00169★ 華乃
☆nme00169☆ 華乃

★txt00170★ 「そんなプロだなんて……まさか、ね？」
☆txt00170☆ 「职业漫画家什么的……太夸张啦，不是吗？」

★scn00171★ 01_妃愛12_2.txt
☆scn00171☆ 01_妃愛12_2.txt

★nme00172★ 
☆nme00172☆ 

★txt00173★ ちなみに常磐は、あくまでたまたま絵が上手かっただけであり、プロのイラストレーターというのは今後も隠していくらしい。曖昧に目を逸らしていた。
☆txt00173☆ 顺便一提，常磐好像准备隐藏自己职业插画家的身份，假装自己只是碰巧会画画而已。想到这，我含糊地移开了目光。

★scn00174★ 01_妃愛12_2.txt
☆scn00174☆ 01_妃愛12_2.txt

★nme00175★ 里
☆nme00175☆ 里

★txt00176★ 「これがトモすけの手紙とは別に『生徒会としての』ひよりんへのプレゼントだって。みんな１年前から準備しててさ。うちちょっと感動したよね」
☆txt00176☆ 「和小智的信不同，这是『全学生会』送给妃爱亲的礼物。大家从一年前就已经开始在准备了哦。咱都稍微有些感动了。」

★scn00177★ 01_妃愛12_2.txt
☆scn00177☆ 01_妃愛12_2.txt

★nme00178★ 里
☆nme00178☆ 里

★txt00179★ 「よかったね、ひよりん？」
☆txt00179☆ 「真是太好了呢，妃爱亲？」

★scn00180★ 01_妃愛12_2.txt
☆scn00180☆ 01_妃愛12_2.txt

★nme00181★ 妃愛
☆nme00181☆ 妃愛

★txt00182★ 「うっ」
☆txt00182☆ 「呜~」

★scn00183★ 01_妃愛12_2.txt
☆scn00183☆ 01_妃愛12_2.txt

★nme00184★ 
☆nme00184☆ 

★txt00185★ 保護者目線の従姉妹に声をかけられ、妃愛はがばりと顔を伏せた。その様子に気づいたみんなが、少し心配そうな表情で俺の妹を囲んだ。
☆txt00185☆ 妃爱被监护人身份的表姐搭话后，突然低下了头。大家都注意到了妃爱的样子，有些担心地围着我的这个妹妹。

★scn00186★ 01_妃愛12_2.txt
☆scn00186☆ 01_妃愛12_2.txt

★nme00187★ あすみ
☆nme00187☆ あすみ

★txt00188★ 「ひよりん？　もしかして泣いてる？」
☆txt00188☆ 「妃爱亲？难道你在哭吗？」

★scn00189★ 01_妃愛12_2.txt
☆scn00189☆ 01_妃愛12_2.txt

★nme00190★ 妃愛
☆nme00190☆ 妃愛

★txt00191★ 「なっ、泣いっ……て、などっ……！」
☆txt00191☆ 「才，才没有……才没有哭……！」

★scn00192★ 01_妃愛12_2.txt
☆scn00192☆ 01_妃愛12_2.txt

★nme00193★ あすみ
☆nme00193☆ あすみ

★txt00194★ 「泣いてるよね？」
☆txt00194☆ 「这是在哭吧？」

★scn00195★ 01_妃愛12_2.txt
☆scn00195☆ 01_妃愛12_2.txt

★nme00196★ 妃愛
☆nme00196☆ 妃愛

★txt00197★ 「ないっ、泣いてっ……泣いてないうえええええええん！！！」
☆txt00197☆ 「没，没有……没有哭——————————！！！」

★scn00198★ 01_妃愛12_2.txt
☆scn00198☆ 01_妃愛12_2.txt

★nme00199★ 
☆nme00199☆ 

★txt00200★ 俺以外の人間の前では完璧な「みんなのひよりん」で居続けてきたうちの妹が、溢れる感情を抑えきれずに素の表情を晒してしまった。
☆txt00200☆ 咱家妹妹在除了我之外的人面前都会扮演着一个完美的「大家的妃爱亲」的形象，但此刻，她却没能抑制住感情，露出了真实的表情。

★scn00201★ 01_妃愛12_2.txt
☆scn00201☆ 01_妃愛12_2.txt

★nme00202★ 
☆nme00202☆ 

★txt00203★ もちろん寂しくはあったけど、それよりも兄としての喜びが勝る。この妹が感情を見せられるだけの友人を見つけたんだ。それも、こんなに大勢の。
☆txt00203☆ 当然我在心里会有一丝寂寞，但是作为哥哥的喜悦跟胜一筹。我的妹妹终于找到可以真心相待的朋友了。而且，对象还是这么多人。

★scn00204★ 01_妃愛12_2.txt
☆scn00204☆ 01_妃愛12_2.txt

★nme00205★ 詩桜
☆nme00205☆ 詩桜

★txt00206★ 「なっ、なんっ、なんたる可愛らしさ……！　純粋な少女の涙とはこれほどに美しいものか……！」
☆txt00206☆ 「这，这是，这是何等的可爱……！纯真少女的眼泪居然有这么美丽吗……！」

★scn00207★ 01_妃愛12_2.txt
☆scn00207☆ 01_妃愛12_2.txt

★nme00208★ 華乃
☆nme00208☆ 華乃

★txt00209★ 「えっ、涙ってことは……和泉がひよりん泣かせた？」
☆txt00209☆ 「诶，哭出来了，也就是说……和泉把妃爱弄哭了吗？」

★scn00210★ 01_妃愛12_2.txt
☆scn00210☆ 01_妃愛12_2.txt

★nme00211★ 天梨
☆nme00211☆ 天梨

★txt00212★ 「泣ーかせたー、泣ーかせたー。せーんせーに言ってやろー」
☆txt00212☆ 「弄哭了——，弄哭了——。去向老师打小报告吧——」

★scn00213★ 01_妃愛12_2.txt
☆scn00213☆ 01_妃愛12_2.txt

★nme00214★ 智宏
☆nme00214☆ 智宏

★txt00215★ 「先生、そこにいるけど。というか先生も共犯だけど。なんならここにいる全員共犯だよね」
☆txt00215☆ 「老师就站在那里来着。倒不如说，老师也是共犯。如果要打小报告的话，这里全员都是共犯。」

★scn00216★ 01_妃愛12_2.txt
☆scn00216☆ 01_妃愛12_2.txt

★nme00217★ 智宏
☆nme00217☆ 智宏

★txt00218★ 「それに妃愛を泣かせたって言うけど、手紙の下書き読んでもらったときは常磐も泣いてたし」
☆txt00218☆ 「虽然是把妃爱弄哭了，但是常磐在读信的草稿的时候不也哭出来了吗。」

★scn00219★ 01_妃愛12_2.txt
☆scn00219☆ 01_妃愛12_2.txt

★nme00220★ 華乃
